VS01;Sid ( SREM );YU7XX,YU7YR,YT7IC,YU4SMD
SB02;Pozarevac ( Branicevo );YU1DW,YT2PFR,YT4W,YU8A,YT1MN,YT5W,YU40DW,YT1BUM,YT1LD,YT2BR,YU1DG,YU1UM,YU1BN,YU1AU,YU1QM,YT1PV,YU1PSR,YU1IW,YU1BFG,YU1NH,YU1NMM,YT1MZC,YT1III,YT1MNS,YT1FPO,YT1SDK,YU1LG,YU1OGA,YU1PIK,YU4DEY,YU4ALF,YU4VPX,YT1PAT,YU1ZZR,YU1NGM,YU1NNK,YU1POL
SB03;Golubac ( Branicevo );YT4TT,YU2AVB,YU25AVB,YU2SGJ,YT1DJB,YU1PPP,YT1AWW,YT1AVB
SB04;Malo Crnice ( Branicevo );YZ1SM,YU5RY,YU1W,YU2SOB,YT1ILC,YT1BS,YU5DSB,YT1PPD,YU2LPT,YT1KTS,YU1RIS,YT1PGQ
SB05;Zabari ( Branicevo );YT1CDS,YT2LT,YU1SDS,YT1PDS,YT2TS,YT2PJ,YU1PTM,YT2DWV,YT1FRA,YU5BIP,YT1PAB
SB06;Petrovac ( Branicevo );YU2RSS,YT1ST,YT1RUF,YU3DR,YU1WAT,YU1AGQ,YU1ZMM,YU1SJD,YU1SDM,YT1WS,YT1MBH,YU5ELE,YU2DBG,YU1NNB,YU5PDW,YT1PL,YT1ENC,YT1SJ,YU5US,YU1SDZ,YT1BK,YU2FER,YU5VJO,YU2MM,YT1TMB,YT1BTD,YT1OHC,YT1PMT,YU2BON,YU5LA,YT1EDA,YU1YQ,YU7SLO,YT2EDO,YT1MBS,YU2JAN,YU2BK,YU5GMD,YU2RS,YU4PME,YU1TR,YU1TB
SB07;Kucevo ( Branicevo );YU5DX,YU1RH,YT7FI,YT1FIK,YT1LT,YU1ZMT,YU4NR,YU2MOB,YT3ACA,YU4BAN,YU4PEK
SB08;Zagubica ( Branicevo );YT1SOK,YT1SON,YU2EZP,YT1BMM
SB09;Kostolac ( Branicevo );YU1NDM,YT1EHZ,YU1UR,YT1JRP,YU2ABF
SS01;Arandjelovac ( Sumadija );YT2VPA,YU1KQR,YT5TM,YU6MM,YU2IPA,YU1LV,YT1JD,YT2VP,YU1CJ,YT5PAN,YU5TPA,YU1IJ,YU2MBI,YU2BMB,YT2MAP,YU2IVA,YT1PVG,YT1ALS,YT1ZRA,YU2ZIX,YT1ARA,YU1NQ,YT1GAP,YT2VM,YU4NTT,YU4BAS,YU4OGI,YT2LK,YT2PDA,YT2VBA,YU4MAS,YU4ZAM,YU3AMA,YT1LDP,YT1ZGR,YT1FOD,YT1OMM,YU2VKV,YU5MNV,YT5GMT,YT1SMF,YT1ABS,YT1MKT,YU1SPD,YT1VKB,YU1IP
SS02;Topola ( Sumadija );YT2SC,YU1TDS,YT1JN,YU1TBD,YU1HO,YT1PRS,YU1PRS,YT1FAJ,YT1USB
SS03;Raca ( Sumadija );YT5EA
SS04;Kragujevac ( Sumadija );YU1VI,YU2FG,YU1AAQ,YU1FG,YT1Q,YU2QQQ,YU2RCD,YU1Q,YU1QQ,YU1YO,YT1QQ,YU2KG,YU1VG,YU1RE,YT5TEA,YT2F,YU1ARL,YT1NM,YU1NSK,YU1TRS,YT2DRR,YU1NR,YU5VA,YU5KYL,YU5KVM,YT1NN,YT1FZ,YU2MT,YU2ZN,YT1RD,YT1KTM,YT1ECE,YT2PA,YU2DUG,YU2VS,YU2VKS,YT1KV,YU2KIM,YT3X,YU1OP,YU1OJB,YU2EF,YU1LD,YU2DA,YU1EZ,YU1ZMK,YT3TT,YU1GV,YU1PWO,YU2KPB,YT1NPA,YU1ZM,YU3MA,YT1GRA,YT1SBR,YT1DBI,YT1WWW,YU1EFG,YU4MM,YU4WAN,YT1MPB,YT1MTO,YT5STV,YT1MKR,YT1AID,YU2MSZ,YT1KGW,YT1FQM,YU1PAP,YT1NSK,YU3SSP,YT1MSE,YT1CRX,YU1OTW,YT3ATR,YT1MEM,YU1PAB,YU2KGM,YU8KA,YU5FNN,YU4DEX,YU4MDJ,YU4GGG,YU4COA,YU4SRP,YU4MAD,YU4STF,YU4PPP,YT1TMK,YT1LU,YT1KG,YT1KM,YU2CBM,YU1SMS,YU2RES,YT8IVO,YU4JEL
SS09;Batocina ( Sumadija );YT3SG,YU2MO,YT1RTE,YT2SL
SS10;Knic ( Sumadija );YT1MMI,YT3MKM,YT1PMS,YU2GID,YT1MRS
SS11;Lapovo ( Sumadija );YU2TT,YT1ZP,YT1MZ,YU1YI,YU2AAA,YT1LN,YU1ZIL,YU1TOM
SO01;Jagodina ( Pomoravlje );YU2SD,YU2ML,YU2TC,YU1RZM,YU1PZJ,YT1ESA,YT1MB,YT1FLD,YU2JDV,YU1LH,YT1MD,YU1RNN,YU5CI,YU5MCM,YT2IM,YU1AXY,YU1HZ,YT1PNN,YT1PBJ,YT1AW,YT1RBT,YU2SJZ,YT1PVJ,YU2JNS,YU2RJM,YU2DMS,YU2JNI,YT1MNT,YT1SJK,YU4NMS,YT1MJS,YU4TDA,YU4MBR
SO02;Cuprija ( Pomoravlje );YU1MI,YU1NB,YU8MI,YU2WW,YT1PDM,YU1OZZ,YT1PSF,YT1ZVO,YT1AJS,YT1SAO,YU1ZOR,YT1TDK,YU2NDA,YT3MM,YT1DJC,YT1DDZ,YU4MNM,YT5ABA,YT5JRT,YT5VBA,YT1DO,YT5SAN,YU1WSZ,YT1BIM,YT1ZPM,YT2ZM
SO03;Paracin ( Pomoravlje );YT1AA,YT1AC,YT4A,YU1GUV,YT2PDI,YU1IR,YT1MZD,YT3DYZ,YT5AAJ,YU1RF,YU1PDD,YT1SSU,YT1LCT,YT1IVV,YT1VSV,YU4DZP,YU1PBJ,YU4SMS,YU4SNS,YU4MIK,YU4BPN,YU4PMD,YU4PAL,YU4PAK,YU4LAZ,YU4VSV,YU4MBU,YU1TA,YU1DL,YU2PN,YT1ZO,YU3JDJ,YU2PMD,YU4NTA,YU4SIK,YU4SDV,YU4MAT,YU4RAD,YT8JSB,YT3DM,YT2XXX,YU4GUV,YU4MBW,YU4PNG,YU4CZV,YU4JRP,YT2DE,YT1MR,YT1WXY,YU1PLD,YU0VPN,YU4GNH,YU4NBT
SO04;Svilajnac ( Pomoravlje );YU1ARC,YU5R,YT1KS,YT1MP,YU1SND,YT2FSG,YU1VKS,YU1UK,YT3PL,YU2MN,YT1PML,YT1RMK,YU1PXB,YT1EAF,YT1EGC,YT1PPB,YT1DDC,YT1PMJ,YT2VDA,YT1ELE,YT1PVS,YU1PGJ
SO05;Despotovac ( Pomoravlje );YT2AZD,YT1DID,YU4JVJ,YT1DRL,YT1RIJ,YT1IZJ,YU1SMR,YT1MST
SO06;Rekovac ( Pomoravlje );YU1RSV,YT1NQ,YT1MRF
SR01;Bor            ;YT1KC,YU1UD,YU1SC,YT1ER,YT1AMB,YU2CUB,YT1CBC,YU2GSS,YT1EIU,YT1FZB,YU2GVM,YT1ESB,YT1BM,YU1SI,YU1TTD,YT1SD,YU2FNR,YT1TNG,YT1TTB,YT1ZEZ,YU1BOR,YT1BRR,YU5DP,YU1TTA,YT1WB,YU4DAZ,YU4IOZ
SR02;Kladovo ( Bor );YU2U,YU1TY,YU5LD,YU1RC,YU1NTZ,YU1KLD,YT1PPH
SR03;Majdanpek ( Bor );YT1ZSM
SR04;Negotin ( Bor );YT1MVR,YT1FQY,YU1PY,YU2PX,YT1TMT,YT1FRK,YT1VHS,YT1DIG,YT1MSP,YT1COS,YT1EVB,YT1BNR,YT1EZB,YU2MAM,YT1RMF,YT1NBV,YT1RTN
SZ01;Boljevac ( Zajecar );YT1KAS,YT1GEL
SZ02;Knjazevac ( Zajecar );YT1ZOR,YT2RM,YT1KBC,YU2FVV,YU1KP,YT1ZMR,YT1MKD,YT1KMM,YU2LSM,YT1LSG,YT1KDP,YU1FWX,YU5KBM,YT1KZK,YT2TTL,YU4IVA,YT8BSV,YU4DGK,YU4IKE,YU4PLG,YT8MCK,YT1ZMN,YU2JZ,YT1DDJ,YU2KBI
SZ03;Zajecar ( Zajecar );YT1Z,YU1YJ,YT3E,YT150Z,YU1ACR,YU8ACR,YU1TMP,YT1WN,YT1ORB,YT1ORZ,YU1LZ,YT1WR,YT1ODZ,YT1ZKN,YT1SDJ,YU1PD,YU1SV,YT1DEJ,YT1BIN,YT1PRE,YU1QRP,YU2CW,YT1FKC,YT1BPD,YT1EAQ,YT1RC,YT1EWD,YT1ZDM,YT1FDN,YT1RL,YT1BDJ,YT1RAA,YT1MJF,YU3MS,YT1EHI,YT1JFR,YT1MKK,YT1ACA,YT1EEI,YT7RKS,YU2MJ,YT1BZB,YT1BTR,YT1DJR,YU2GGA,YU1UL,YT1SAG,YT1RUR,YT1ZT,YT1BLF,YT1MFM,YT1AGC,YT1ETD,YT1NVM,YT1MVL,YU4SAM,YT1MOS,YT1MVH,YT8MDS,YU2FRO,YU1ZVS,YT1ROK,YU4GSS,YU4SSM,YT2FON,YT1JMA,YT1MVE,YT7VBA,YU4ORD,YU4KWW,YU4LEP,YU4JAK,YU1ATZ,YT1JTG,YT1JSG,YT1PMG,YT1SNP,YT1MBG,YT1SPG,YT1ROT,YT1MTS,YT1VNV,YT2EU,YT1FDU,YT1PAC,YT1DBG,YT1KDO
SZ04;Sokobanja ( Zajecar );YU175SB,YT178SB,YU1KN,YU8KN,YU2MV,YT1DJ,YU2MRS,YU1MG,YT1GZS,YT1XMD,YU1ZMS,YU2MD,YT1VBS,YU5SMS,YU1ASB,YU1SSI,YT3CWW,YT1SDD,YU1TPL,YT1ZNS
ST01;Bajina Basta ( Zlatibor );YT8WW,YU1BBA,YT1MMV
ST02;Kosjeric ( Zlatibor );YT1LS,YU2KBM,YT1KBB,YU2PT,YU2RRK,YT1EM,YT1LM,YT1RMB
ST03;Uzice ( Zlatibor );YU1ABH,YU1FLM,YT2W,YU1ACE,YT1R,YU1XA,YU1UN,YU1JW,YT0W,YU1WS,YU0T,YU1JZ,YU1AN,YT0Z,YT9TP,YZ1U,YU2ZZ,YT1RA,YT2ABV,YT1UR,YU1RID,YT1IT,YU1QD,YT9NX,YU2PV,YU1HH,YT9DX,YU2EE,YU2EN,YU2AUE,YU2EU,YU1FY,YT1GDU,YT1GMU,YU1UF,YU2GM,YU2TD,YU1VP,YU2VM,YT3ANA,YT1EA,YT2MA,YT1GR,YT3IGI,YU2AAB,YU2EXE,YT1SSK,YT1EXE,YU2ENA,YU1WE,YU8UTI,YU2AWW,YU1TTL,YT5WW,YU0XUE,YU5PRO,YU4RAA,YU4JSH,YU1TRG,YU4EEA,YU2OXA,YU4ERA,YU2AAR
ST04;Pozega ( Zlatibor );YU5VM,YU1RIB,YT1DTV,YT2EM,YU1SES,YT1CDP,YT1DPL,YT1ASV,YT1ZVP,YT1DMP,YU2SDM,YT1DRX
ST05;Cajetina ( Zlatibor );YU1UH,YT2A,YU3ACP,YU2EZ,YZ1EZ,YZ2Z,YT1ZC,YT1EKX,YT1EXX,YU2MS,YU3ACO
ST06;Arilje ( Zlatibor );YU1AIF,YU4DX,YU3CW,YU1XU,YT1JB,YU3FX,YT1ZA,YT1DSA,YT1NNA,YU3MSV,YT3PBA,YU0VAR
ST07;Priboj ( Zlatibor );YU3KUM,YU1VUK
ST08;Nova Varos ( Zlatibor );YT1PSN,YT1NVS
ST09;Prijepolje ( Zlatibor );YU1DZ,YU1WAA,YU1ANM,YT1EHR,YU0VPP,YU4MKS,YU4DHM
ST10;Sjenica ( Zlatibor );YT1ZAR
ST11;Sevojno ( Zlatibor );YU1AAX,YT9X,YT1CW,YT1RU,YT1RW,YT8T,YU2RA,YU1ZZ,YU2STR,YU2OM,YT1RX,YT1BOL,YU2AVS,YU4RSE
SC01;Cacak ( Moravica );YU1IG,YT9M,YU9CF,YU3MMM,YT1UM,YU1EL,YT5G,YT9C,YT1PBC,YU1RDC,YU1RDD,YT1MK,YT1CMB,YT1TV,YU2SS,YT1KMA,YT2DDV,YT1VMA,YT1CMM,YT1AMG,YT1TD,YT1LO,YT1CVM,YU2MI,YT3LA,YT1JBC,YT1MCJ,YT1ZMC,YT1MGC,YU1OXB,YT8LJU,YU4FRC,YT8PFC,YU4RRA,YU1RZS,YT1CZZ,YT1GCB,YT5KW
SC02;Gornji Milanovac ( Moravica );YU5M,YU1AEK,YU5GM,YU1GN,4N1GM,YT5YTT,YU1PET,YT5ZZ,YU5PD,YU5PXC,YU1VMZ,YU1GO,YU3EY,YU1PXM,YU4SAJ,YU1RAD
SC03;Lucani ( Moravica );
SC04;Ivanjica ( Moravica );YU2ZMR,YT1KSV,YT1IRT,YT1DDD,YU4SIM,YU5MP,YT1IBD
SA01;Kraljevo ( Raska );YT1A,YU9MBA,YU1KU,YT3M,YT6M,YT1BB,YT3MA,YT2KMD,YT1EZL,YU2MDC,YT1MJC,YT1DPA,YT1ASM,YT1LRR,YT1RK,YT1RGA,YT1JRA,YT1BCM,YT1BLU,YT1NVV,YU1DKL,YU1PGS,YU1SRD,YU1TBR,YU1OSA,YT1CBR,YT3MN,YU2ACO,YT1AR,YT1JKM,YT1DKM,YT1DJS,YU2LJ,YU5KBS,YU1XT,YU1XD,YU1STA,YU1POC,YT1USA,YT1KDC,YT1NUS,YT1ZTA,YT1ATV,YT1NBS,YT1EMI,YT1BDK,YT1GKJ,YT1BKK,YT1OSM,YT1NDO,YU1CKV,YT2VMA,YU2MIR,YU2CS,YT1PRC,YT1KUJ,YT1AD,YT3AYL,YT2ENO,YT3VKV,YT3AAW,YT5BMW,YU3AKA,YT3RJ,YT1RMI,YU1AKV,YU4VAZ,YU4RAK,YU4MIA,YU4JOV,YU4DOV,YU4BAV,YU4MAR,YU4LAV,YT2TMM,YT2RAD,YT1MBE,YT1KB,YT1NVK,YT1MDU,YU1SDK,YT1MKG,YT1ZBK
SA02;Vrnjacka Banja ( Raska );YU5W,YU1QW,YT2VPB,YU1BT,YT1MW,YT1RIN,YT7BW,YU1VBM,YT1EW,YU3BIA,YT2NW
SA03;Raska ( Raska );YT1NP,YT5CWW,YU1R,YT3TA,YU1ABG,YT1ZE,YU2PC,YT1DC,YU2KBS,YT1NR,YT2CIG,YT2RRB,YU2VNR,YT5BUN,YT1CAJ,YT5OKI,YT8TRI,YT1DVJ,YU2KIS,YU2ACW,YT2RTM,YT5MIX,YT5OGI,YU1RAS,YT5YTY,YT5DIS,YT1MDN,YT1PWC,YT1ASD,YT1CRB,YT8CAR,YT1CAR,YT1GIN,YT8UKI,YT1VMN,YT1PIC,YT1ADD,YT1PTJ,YT1NKP,YT8SMK,YT1OZN,YT8SRB,YT1KKL,YT1BZS,YT8BZS,YT8KDB,YT8KBL,YU0VRA,YT1XXL,YU2ZID,YT1BOC,YT1TSJ,YT8LOV,YT1MPV
SA04;Novi Pazar ( Raska );YT2IS,YT2ISM,YT1BIA,YU2DRM,YT2RS,YU1NDJ
SA05;Tutin ( Raska );
SI01;Varvarin ( Rasina );YT1TPD,YU1UUM,YU4GAS,YU1HG,YT3MMS,YT3SMS,YT3NMS,YU1TPD,YT1TVL,YT1ASP,YT1JSO,YT1PNP
SI02;Trstenik ( Rasina );YT9W,YU2AAW,YT2TRL,YT1RGR,YU1CZ,YT1MRG,YT1DPI,YT1TPK,YT1DRD,YT1SCS,YT1MAS,YT1TZR,YU1TBV,YU5FM,YU1IMN,YT2SBT,YT1ARS,YT1VPS,YT1DRG,YT1ART,YU2MA,YT3TPS,YU2XXX,YT1TSG,YT1VDT,YU5MDM,YT1RIC,YU1RES,YT2ZE,YU1TAD,YT2VST,YT1TMG,YT1DKA,YT1MTL,YT1TDS,YT2PET,YT2GMT,YT1SDU,YU0VTS,YT1DTK,YT5LAZ
SI03;Cicevac ( Rasina );YT2AA,YU1KX,YU1EQ,YT3AA,YT1SLA,YT1IND,YT1VGC,YT1DJM,YU1RAI,YT1RWG,YT1SCP,YT1IZP,YT1ADJ,YT1PDG,YT1RGC,YT1KRS,YT1AKD,YT1NMK
SI04;Krusevac ( Rasina );YT2L,YU1CF,YT1KSC,YT2KID,YU1SS,YT5A,YU1SZ,YT1KOS,YT1TS,YT1DSM,YT2KSK,YU2BMK,YT8DKP,YT1MAP,YT1TAR,YU1IV,YT1XT,YU2DIM,YU1SN,YU2MSM,YT2JYL,YT1LGK,YT1VMK,YU2HUN,YU1ADO,YT1OSI,YT8KDJ,YT1RLK,YT1ZBZ,YT1MKM,YT2SSK,YT1JML,YU0VKS,YU0UKS,YU0VKR,YU2LFC,YU4NDJ,YT8MIR,YU4AYZ,YU1DT,YU1GZ,YT1ZRK,YT1XXX,YT2SMG,YT1RG,YT5VDL,YT2LOV,YT1MNV,YU1TID,YT2DDK,YT2DSG,YT1GSL,YT1VFL,YT1SNL,YT1LVL,YT1LMP,YT1SUL,YT1LRM,YT1SLK,YT1LDS,YT2SMT,YT1MSV,YT1RTI,YT2KUM,YT1LOS,YT1MJK,YT2DDD,YT1VDR,YT2MMG,YT8MBT
SI05;Aleksandrovac ( Rasina );YU1KZ,YT1SMS,YT1BAH,YU1TW,YT1ZZS
SI06;Brus ( Rasina );YT1NPK
SN01;Aleksinac ( Nis );YU1MR,YU1WL,YU1SBA,YU1XG,YU1IS,YU1AEE,YU1SSS,YU1DC,YU1QS,YT2MS,YU1VSO,YT1SKL,YU1GG,YT1SOE,YT1AMN,YT1ACE,YU2DSA,YT5BOS,YU2MBM,YT1MBF,YU2CBA,YT1ADF,YT1ASK,YU1SAT,YU2ERO,YT1TMO,YT1DGM,YT1OV
SN02;Svrljig ( Nis );YT1MZO,YU2MZV,YU1VL,YT1CZI
SN03;Merosina ( Nis );
SN04;Razanj ( Nis );YU2KRR,YT1ABR
SN05;Medijana ( Nis );YT5TT,YU1KB,YU2A,YU8NU,YT1BX,YT2B,YU1AST,YU2EA,YT1DJN,YU1QJ,YU1XE,YU1NBB,YU1TTT,YU1NIS,YT2II,YT2T,YU1RNM,YT1ZW,YT9VM,YU4MAB
SN06;Niska Banja ( Nis );YT1NEN,YT1NOL
SN07;Palilula ( Nis );YU1LC,YU5SD,YU1TP,YU8DX,YU1CC,YT6TT,YU1NI,YT2ZN,YT2ACA,YT1SAP
SN08;Pantelej ( Nis );YT1KIB,YU1TN,YT1NIV,YT1TKM
SN09;Crveni Krst ( Nis );YU1DGH
SN10;Boljevac ( Nis );
SN11;Gadzin Han ( Nis );
SL01;Prokuplje ( Prokuplje );YT2FA,YT1CZP,YT1ABJ,YU8SB,YU2MCM,YT1CIP,YT1DVD,YT1SMO,YT1BJ,YT1GNZ
SL02;Blace ( Prokuplje );YT1MZN,YT2VZ,YT1PKT,YU1WM,YT8DBL
SL03;Kursumlija ( Prokuplje );YU2DD,YU8PDD,YU8PKM,YU8NMR,YT8BOM,YU8RGR,YT8KRU
SL04;Zitoradja ( Prokuplje );
SF01;Bela Palanka ( Pirot );YU3FCM,YT2LSM,YU1BPA,YT1USM,YT1APU,YT8SSG,YT1LDM,YU4JMS,YT1MGS,YU0UPI,YU0XPI
SF02;Pirot ( Pirot );YU1SMM,YU2DVD,YU2DXB,YT1MYY,YU1OXK,YU1PRM,YT1HAS,YT1HAC,YU1NSD,YT1AIB,YU1NGX,YU1TTN,YT1NT,YT1BSK,YU1INO,YU0VPI,YT1NL,YU1PBC,YU2AMG,YU2TDI,YT1BV,YT8PSM,YU4MAP,YU4KIM
SF03;Babusnica ( Pirot );YU4IDB,YU4TVK,YU4ZRK
SF04;Dimitrovgrad ( Pirot );YT2FPS,YT2SMS,YU2DTA,YT2PBG,YT2BTA,YT2MPM,YT2EA,YT2TA,YU1AHW,YT5ACA,YU2JDN,YT2HAM,YT2IKA,YT1MMK,YT1DVI,YT1JSN,YT1KKD,YU4EZG,YU1TDD,YU4KIK,YU0VDG
SJ01;Leskovac ( Jablanica );YT1EQP,YU5YL,YU5T,YU5C,YT0I,YU1STZ,YU5EQP,YU1TS,YT1ML,YT1JR,YU1TDI,YT1TSL,YU1ZIP,YT1PNS,YU1TO,YT1JSR,YU1HFG,YU6YL,YU1AS,YU1NGR,YU2FBJ,YU1NIM,YU9RVA,YU5PML,YU5DML,YU1SNS,YT1SDL,YT1AML,YT1LIK,YT1NML,YU5AKA,YU3EMA,YU3LAX,YU1ML,YU2DSL,YU1OO,YU3MP,YU5DJZ,YT1MNL,YT8DDA,YU4SSS,YU3VIP,YT1SSI,YT1LLN,YT1RVL,YT1PIV,YU1XDL,YU4RGA,YU4LEO,YU4MIL,YU4ZEK,YU4WWW,YU4MIT,YT8MBF,YT8BIB,YU4RIS,YU4MLD,YU4NBN,YU4NBM,YT8NMN,YU4DMX,YT1JPZ,YT1MNK,YU5LE,YU4LAN,YT1EAI,YT1CNS,YT1MGH,YT1SGL,YT1KAL,YT1SSC,YT1SSE,YU2SJ,YT1ZJJ
SJ02;Bojnik ( Jablanica );
SJ03;Lebane ( Jablanica );YT5DX,YT1NNJ
SJ04;Medvedja ( Jablanica );YT1CLM,YT1SZL
SJ05;Vlasotince ( Jablanica );YT1NC,YT1MRL
SJ06;Crna Trava ( Jablanica );
SV01;Vladicin Han ( Jablanica );YT1CEF,YT1LJM,YT1SDV,YU1TE,YT1OJS,YT1PN,YU1AIH,YT1RRH,YU2HPP,YU1O
SV02;Surdulica ( Jablanica );YT1CS,YT1SGA,YT1SCJ,YT1DZA,YT1PDJ,YU1KFG
SV03;Bosilegrad ( Jablanica );
SV04;Trgoviste ( Jablanica );
SV05;Vranje ( Jablanica );YU2CNV,YU1SVR,YT1DEO,YU2DNM,YT1MAX,YU2DNK,YU2LOV
SV06;Bujanovac ( Jablanica );YT1OSZ
SV07;Presevo ( Jablanica );
SV08;Vranjska Banja ( Jablanica );
KK01;Glogovac ( Kosovski Okrug );
KK02;Kačanik ( Kosovski Okrug );
KK03;Kosovo Polje ( Kosovski Okrug );YU8TDI,YT1LZM
KK04;Lipljan ( Kosovski Okrug );YT1DNB
KK05;Obilić ( Kosovski Okrug );YT8MDD,YT8MDB
KK06;Podujevo ( Kosovski Okrug );
KK07;Priština ( Kosovski Okrug );YU8RD,YU8NMG,YT8MNM,YU8KB,YT8BLD,YT8ESI,YT8ESG,YU8SRK,YT1KNP,YT8GCA,YT1ZAP,YT1MNG,YT8EDL,YT1STC,YT1TDC,YT1GMF,YT1KNS
KK08;Uroševac ( Kosovski Okrug );YT1LND
KK09;Štimlje ( Kosovski Okrug );
KK10;Štrpce ( Kosovski Okrug );YU8NPI,YT8BPN,YT8BRD,YT8BAS,YT8BRN,YT8BSA,YT8BNN,YU8NZN,YT8BBN,YT8CIB,YU8NZV,YU8NMI,YU8NMS,YT8BDZ,YT8BMM,YT8BSC,YT8BDC,YT8BZD,YT8BZM,YT1SDH,YT1SDQ,YT1SBJ,YT8BSM,YT1SSG,YT1SKB,YT1SKC,YT1SMU,YT1SOC,YT8BLN,YU1NTB
KM01;Vučitrn ( Kosovo-Mitrovacki Okrug );YT8PZK
KM02;Zubin Potok ( Kosovo-Mitrovacki Okrug );
KM03;Leposavić ( Kosovo-Mitrovacki Okrug );YU8NSM,YT1LBR,YT1LMV,YT1LMA,YT1LMC,YT1LSR,YT1LPA,YT1LVN,YT1LRD,YT1LPB,YT1LBZ,YT1LDJ,YU8VJ,YT1LGM,YT1LMO,YT1LSN,YT1LRV,YT1LMF,YT1LMH
KM04;Srbica ( Kosovo-Mitrovacki Okrug );
KM05;Kosovska Mitrovica ( Kosovo-Mitrovacki Okrug );YT8KMO,YT8FKM,YU8NND,YT8FMR,YT8KRJ,YT8KMM,YT8KZM,YT8KMK,YT8KDS,YT8KBD,YT8KNS,YT8KKM,YT8KBS,YT8KBN,YT8KVJ,YT8KDT,YT8KAS,YT8KVS,YT8KJS,YT8KMI,YT8FDM,YT8FJD,YT8FRM,YU8KSD,YT8FAL,YT8FMV,YT8FZK,YT8FIM,YT8FAM,YT8MSP,YT1PKA,YT1KMF,YT8KSD,YT8KIZ,YT1ZCS
KM06;Zvečan ( Kosovo-Mitrovacki Okrug );YU8ZBZ,YT8FDS,YT8FDN,YU0VKM,YT8FNM,YT1ZBD,YT1ZPS,YT1ZVR,YT1ZRM,YT1ZML,YT1ZRZ,YT1ZMO,YT1ZRJ,YT1ZGL,YT1ZMF,YT1ZUR,YT8FVT,YU1SVL,YT1ZKM,YT1ZFS,YT1ZME,YT1ZRB,YT1ZVN,YT1ZZB
KP01;Vitina ( Kosovsko-Pomoravski  Okrug );
KP02;Gnjilane ( Kosovsko-Pomoravski  Okrug );YT1GSA,YT1GVA,YT1GZC,YT1GNN
KP03;Kosovska Kamenica ( Kosovsko-Pomoravski  Okrug );
KP04;Novo Brdo ( Kosovsko-Pomoravski  Okrug );
KZ01;Orahovac ( Prizrenski Okrug );
KZ02;Prizren ( Prizrenski Okrug );YT8BFG
KZ03;Suva Reka ( Prizrenski Okrug );YT8FAN
KZ04;Gora-Dragaš ( Prizrenski Okrug );
KC01;Dečani ( Pecki  Okrug );
KC02;Đakovica ( Pecki  Okrug );
KC03;Istok ( Pecki  Okrug );YT7ALE
KC04;Klina ( Pecki  Okrug );
KC05;Peć ( Pecki  Okrug );YU8MA,YT1GMA
